"id_tests","description","id_tests_methods","id_methods","id_compute_node_data","start_date_test_methods","finish_date_test_methods","compute_node_data_date","compute_node_data_cpu_percent","compute_node_data_memory_percent"
"1","1VM-0VNF","2","2","6","2022-07-27 23:39:25","2022-07-27 23:39:27","2022-07-27 23:39:27","2.1","35.86"
"1","1VM-0VNF","2","2","5","2022-07-27 23:39:25","2022-07-27 23:39:27","2022-07-27 23:39:27","2.1","35.86"
"1","1VM-0VNF","2","2","4","2022-07-27 23:39:25","2022-07-27 23:39:27","2022-07-27 23:39:26","3.4","35.86"
"1","1VM-0VNF","2","2","3","2022-07-27 23:39:25","2022-07-27 23:39:27","2022-07-27 23:39:26","3.4","35.86"
"1","1VM-0VNF","2","2","2","2022-07-27 23:39:25","2022-07-27 23:39:27","2022-07-27 23:39:25","3.5","35.86"
"1","1VM-0VNF","2","2","1","2022-07-27 23:39:25","2022-07-27 23:39:27","2022-07-27 23:39:25","3.5","35.86"
"1","1VM-0VNF","3","3","20","2022-07-27 23:39:27","2022-07-27 23:39:34","2022-07-27 23:39:34","3","35.87"
"1","1VM-0VNF","3","3","19","2022-07-27 23:39:27","2022-07-27 23:39:34","2022-07-27 23:39:34","3","35.87"
"1","1VM-0VNF","3","3","18","2022-07-27 23:39:27","2022-07-27 23:39:34","2022-07-27 23:39:33","2.2","35.86"
"1","1VM-0VNF","3","3","17","2022-07-27 23:39:27","2022-07-27 23:39:34","2022-07-27 23:39:33","2.2","35.86"
"1","1VM-0VNF","3","3","16","2022-07-27 23:39:27","2022-07-27 23:39:34","2022-07-27 23:39:32","2.5","35.86"
"1","1VM-0VNF","3","3","15","2022-07-27 23:39:27","2022-07-27 23:39:34","2022-07-27 23:39:32","2.5","35.86"
"1","1VM-0VNF","3","3","14","2022-07-27 23:39:27","2022-07-27 23:39:34","2022-07-27 23:39:31","2.8","35.86"
"1","1VM-0VNF","3","3","13","2022-07-27 23:39:27","2022-07-27 23:39:34","2022-07-27 23:39:31","2.9","35.86"
"1","1VM-0VNF","3","3","12","2022-07-27 23:39:27","2022-07-27 23:39:34","2022-07-27 23:39:30","5.5","35.87"
"1","1VM-0VNF","3","3","11","2022-07-27 23:39:27","2022-07-27 23:39:34","2022-07-27 23:39:30","5.5","35.87"
"1","1VM-0VNF","3","3","10","2022-07-27 23:39:27","2022-07-27 23:39:34","2022-07-27 23:39:29","1.9","35.86"
"1","1VM-0VNF","3","3","9","2022-07-27 23:39:27","2022-07-27 23:39:34","2022-07-27 23:39:29","1.9","35.86"
"1","1VM-0VNF","3","3","8","2022-07-27 23:39:27","2022-07-27 23:39:34","2022-07-27 23:39:28","2","35.86"
"1","1VM-0VNF","3","3","7","2022-07-27 23:39:27","2022-07-27 23:39:34","2022-07-27 23:39:28","2","35.86"
"1","1VM-0VNF","3","3","6","2022-07-27 23:39:27","2022-07-27 23:39:34","2022-07-27 23:39:27","2.1","35.86"
"1","1VM-0VNF","3","3","5","2022-07-27 23:39:27","2022-07-27 23:39:34","2022-07-27 23:39:27","2.1","35.86"
"1","1VM-0VNF","4","4","68","2022-07-27 23:39:34","2022-07-27 23:39:58","2022-07-27 23:39:58","3.7","36.3"
"1","1VM-0VNF","4","4","67","2022-07-27 23:39:34","2022-07-27 23:39:58","2022-07-27 23:39:58","3.7","36.3"
"1","1VM-0VNF","4","4","66","2022-07-27 23:39:34","2022-07-27 23:39:58","2022-07-27 23:39:57","4.6","36.25"
"1","1VM-0VNF","4","4","65","2022-07-27 23:39:34","2022-07-27 23:39:58","2022-07-27 23:39:57","4.6","36.25"
"1","1VM-0VNF","4","4","64","2022-07-27 23:39:34","2022-07-27 23:39:58","2022-07-27 23:39:56","5.2","36.24"
"1","1VM-0VNF","4","4","63","2022-07-27 23:39:34","2022-07-27 23:39:58","2022-07-27 23:39:56","5.2","36.24"
"1","1VM-0VNF","4","4","62","2022-07-27 23:39:34","2022-07-27 23:39:58","2022-07-27 23:39:55","5.9","36.18"
"1","1VM-0VNF","4","4","61","2022-07-27 23:39:34","2022-07-27 23:39:58","2022-07-27 23:39:55","5.9","36.18"
"1","1VM-0VNF","4","4","60","2022-07-27 23:39:34","2022-07-27 23:39:58","2022-07-27 23:39:54","3.8","36.16"
"1","1VM-0VNF","4","4","59","2022-07-27 23:39:34","2022-07-27 23:39:58","2022-07-27 23:39:54","3.8","36.16"
"1","1VM-0VNF","4","4","58","2022-07-27 23:39:34","2022-07-27 23:39:58","2022-07-27 23:39:53","4.7","36.16"
"1","1VM-0VNF","4","4","57","2022-07-27 23:39:34","2022-07-27 23:39:58","2022-07-27 23:39:53","4.7","36.16"
"1","1VM-0VNF","4","4","56","2022-07-27 23:39:34","2022-07-27 23:39:58","2022-07-27 23:39:52","4.1","36.16"
"1","1VM-0VNF","4","4","55","2022-07-27 23:39:34","2022-07-27 23:39:58","2022-07-27 23:39:52","4.1","36.16"
"1","1VM-0VNF","4","4","54","2022-07-27 23:39:34","2022-07-27 23:39:58","2022-07-27 23:39:51","4.3","36.16"
"1","1VM-0VNF","4","4","53","2022-07-27 23:39:34","2022-07-27 23:39:58","2022-07-27 23:39:51","4.3","36.16"
"1","1VM-0VNF","4","4","52","2022-07-27 23:39:34","2022-07-27 23:39:58","2022-07-27 23:39:50","7.8","36.07"
"1","1VM-0VNF","4","4","51","2022-07-27 23:39:34","2022-07-27 23:39:58","2022-07-27 23:39:50","7.9","36.07"
"1","1VM-0VNF","4","4","50","2022-07-27 23:39:34","2022-07-27 23:39:58","2022-07-27 23:39:49","4.1","35.92"
"1","1VM-0VNF","4","4","49","2022-07-27 23:39:34","2022-07-27 23:39:58","2022-07-27 23:39:49","4.1","35.92"
"1","1VM-0VNF","4","4","48","2022-07-27 23:39:34","2022-07-27 23:39:58","2022-07-27 23:39:48","5.1","35.91"
"1","1VM-0VNF","4","4","47","2022-07-27 23:39:34","2022-07-27 23:39:58","2022-07-27 23:39:48","5.1","35.91"
"1","1VM-0VNF","4","4","46","2022-07-27 23:39:34","2022-07-27 23:39:58","2022-07-27 23:39:47","5.4","35.91"
"1","1VM-0VNF","4","4","45","2022-07-27 23:39:34","2022-07-27 23:39:58","2022-07-27 23:39:47","5.4","35.91"
"1","1VM-0VNF","4","4","44","2022-07-27 23:39:34","2022-07-27 23:39:58","2022-07-27 23:39:46","5.9","35.9"
"1","1VM-0VNF","4","4","43","2022-07-27 23:39:34","2022-07-27 23:39:58","2022-07-27 23:39:46","5.9","35.9"
"1","1VM-0VNF","4","4","42","2022-07-27 23:39:34","2022-07-27 23:39:58","2022-07-27 23:39:45","4.6","35.89"
"1","1VM-0VNF","4","4","41","2022-07-27 23:39:34","2022-07-27 23:39:58","2022-07-27 23:39:45","4.6","35.89"
"1","1VM-0VNF","4","4","40","2022-07-27 23:39:34","2022-07-27 23:39:58","2022-07-27 23:39:44","5.2","35.87"
"1","1VM-0VNF","4","4","39","2022-07-27 23:39:34","2022-07-27 23:39:58","2022-07-27 23:39:44","5.2","35.87"
"1","1VM-0VNF","4","4","38","2022-07-27 23:39:34","2022-07-27 23:39:58","2022-07-27 23:39:43","5.8","35.9"
"1","1VM-0VNF","4","4","37","2022-07-27 23:39:34","2022-07-27 23:39:58","2022-07-27 23:39:43","5.8","35.9"
"1","1VM-0VNF","4","4","36","2022-07-27 23:39:34","2022-07-27 23:39:58","2022-07-27 23:39:42","4.7","35.87"
"1","1VM-0VNF","4","4","35","2022-07-27 23:39:34","2022-07-27 23:39:58","2022-07-27 23:39:42","4.7","35.87"
"1","1VM-0VNF","4","4","34","2022-07-27 23:39:34","2022-07-27 23:39:58","2022-07-27 23:39:41","5.6","35.88"
"1","1VM-0VNF","4","4","33","2022-07-27 23:39:34","2022-07-27 23:39:58","2022-07-27 23:39:41","5.6","35.88"
"1","1VM-0VNF","4","4","32","2022-07-27 23:39:34","2022-07-27 23:39:58","2022-07-27 23:39:40","6.5","35.9"
"1","1VM-0VNF","4","4","31","2022-07-27 23:39:34","2022-07-27 23:39:58","2022-07-27 23:39:40","6.5","35.89"
"1","1VM-0VNF","4","4","30","2022-07-27 23:39:34","2022-07-27 23:39:58","2022-07-27 23:39:39","4.2","35.88"
"1","1VM-0VNF","4","4","29","2022-07-27 23:39:34","2022-07-27 23:39:58","2022-07-27 23:39:39","4.2","35.88"
"1","1VM-0VNF","4","4","28","2022-07-27 23:39:34","2022-07-27 23:39:58","2022-07-27 23:39:38","2.3","35.87"
"1","1VM-0VNF","4","4","27","2022-07-27 23:39:34","2022-07-27 23:39:58","2022-07-27 23:39:38","2.3","35.87"
"1","1VM-0VNF","4","4","26","2022-07-27 23:39:34","2022-07-27 23:39:58","2022-07-27 23:39:37","3.8","35.87"
"1","1VM-0VNF","4","4","25","2022-07-27 23:39:34","2022-07-27 23:39:58","2022-07-27 23:39:37","3.8","35.87"
"1","1VM-0VNF","4","4","24","2022-07-27 23:39:34","2022-07-27 23:39:58","2022-07-27 23:39:36","4","35.87"
"1","1VM-0VNF","4","4","23","2022-07-27 23:39:34","2022-07-27 23:39:58","2022-07-27 23:39:36","4","35.87"
"1","1VM-0VNF","4","4","22","2022-07-27 23:39:34","2022-07-27 23:39:58","2022-07-27 23:39:35","4.9","35.87"
"1","1VM-0VNF","4","4","21","2022-07-27 23:39:34","2022-07-27 23:39:58","2022-07-27 23:39:35","4.9","35.87"
"1","1VM-0VNF","4","4","20","2022-07-27 23:39:34","2022-07-27 23:39:58","2022-07-27 23:39:34","3","35.87"
"1","1VM-0VNF","4","4","19","2022-07-27 23:39:34","2022-07-27 23:39:58","2022-07-27 23:39:34","3","35.87"
"1","1VM-0VNF","5","5","100","2022-07-27 23:40:27","2022-07-27 23:40:42","2022-07-27 23:40:42","6.3","35.91"
"1","1VM-0VNF","5","5","99","2022-07-27 23:40:27","2022-07-27 23:40:42","2022-07-27 23:40:42","6.3","35.91"
"1","1VM-0VNF","5","5","98","2022-07-27 23:40:27","2022-07-27 23:40:42","2022-07-27 23:40:41","4.9","35.87"
"1","1VM-0VNF","5","5","97","2022-07-27 23:40:27","2022-07-27 23:40:42","2022-07-27 23:40:41","4.9","35.87"
"1","1VM-0VNF","5","5","96","2022-07-27 23:40:27","2022-07-27 23:40:42","2022-07-27 23:40:40","4.5","35.87"
"1","1VM-0VNF","5","5","95","2022-07-27 23:40:27","2022-07-27 23:40:42","2022-07-27 23:40:40","4.5","35.88"
"1","1VM-0VNF","5","5","94","2022-07-27 23:40:27","2022-07-27 23:40:42","2022-07-27 23:40:39","5.8","35.86"
"1","1VM-0VNF","5","5","93","2022-07-27 23:40:27","2022-07-27 23:40:42","2022-07-27 23:40:39","5.9","35.86"
"1","1VM-0VNF","5","5","92","2022-07-27 23:40:27","2022-07-27 23:40:42","2022-07-27 23:40:38","5.7","35.9"
"1","1VM-0VNF","5","5","91","2022-07-27 23:40:27","2022-07-27 23:40:42","2022-07-27 23:40:38","5.7","35.9"
"1","1VM-0VNF","5","5","90","2022-07-27 23:40:27","2022-07-27 23:40:42","2022-07-27 23:40:37","4.7","35.86"
"1","1VM-0VNF","5","5","89","2022-07-27 23:40:27","2022-07-27 23:40:42","2022-07-27 23:40:37","4.7","35.86"
"1","1VM-0VNF","5","5","88","2022-07-27 23:40:27","2022-07-27 23:40:42","2022-07-27 23:40:36","2.2","35.86"
"1","1VM-0VNF","5","5","87","2022-07-27 23:40:27","2022-07-27 23:40:42","2022-07-27 23:40:36","2.2","35.86"
"1","1VM-0VNF","5","5","86","2022-07-27 23:40:27","2022-07-27 23:40:42","2022-07-27 23:40:35","3.6","35.86"
"1","1VM-0VNF","5","5","85","2022-07-27 23:40:27","2022-07-27 23:40:42","2022-07-27 23:40:35","3.6","35.86"
"1","1VM-0VNF","5","5","84","2022-07-27 23:40:27","2022-07-27 23:40:42","2022-07-27 23:40:34","3.5","35.86"
"1","1VM-0VNF","5","5","83","2022-07-27 23:40:27","2022-07-27 23:40:42","2022-07-27 23:40:34","3.5","35.86"
"1","1VM-0VNF","5","5","82","2022-07-27 23:40:27","2022-07-27 23:40:42","2022-07-27 23:40:33","4.1","35.86"
"1","1VM-0VNF","5","5","81","2022-07-27 23:40:27","2022-07-27 23:40:42","2022-07-27 23:40:33","4.1","35.86"
"1","1VM-0VNF","5","5","80","2022-07-27 23:40:27","2022-07-27 23:40:42","2022-07-27 23:40:32","5","35.87"
"1","1VM-0VNF","5","5","79","2022-07-27 23:40:27","2022-07-27 23:40:42","2022-07-27 23:40:32","5","35.87"
"1","1VM-0VNF","5","5","78","2022-07-27 23:40:27","2022-07-27 23:40:42","2022-07-27 23:40:31","5","35.87"
"1","1VM-0VNF","5","5","77","2022-07-27 23:40:27","2022-07-27 23:40:42","2022-07-27 23:40:31","5","35.87"
"1","1VM-0VNF","5","5","76","2022-07-27 23:40:27","2022-07-27 23:40:42","2022-07-27 23:40:30","7.3","35.86"
"1","1VM-0VNF","5","5","75","2022-07-27 23:40:27","2022-07-27 23:40:42","2022-07-27 23:40:30","7.3","35.86"
"1","1VM-0VNF","5","5","74","2022-07-27 23:40:27","2022-07-27 23:40:42","2022-07-27 23:40:29","3.4","35.86"
"1","1VM-0VNF","5","5","73","2022-07-27 23:40:27","2022-07-27 23:40:42","2022-07-27 23:40:29","3.4","35.86"
"1","1VM-0VNF","5","5","72","2022-07-27 23:40:27","2022-07-27 23:40:42","2022-07-27 23:40:28","2.9","36.77"
"1","1VM-0VNF","5","5","71","2022-07-27 23:40:27","2022-07-27 23:40:42","2022-07-27 23:40:28","3","36.77"
"1","1VM-0VNF","5","5","70","2022-07-27 23:40:27","2022-07-27 23:40:42","2022-07-27 23:40:27","4.5","36.77"
"1","1VM-0VNF","5","5","69","2022-07-27 23:40:27","2022-07-27 23:40:42","2022-07-27 23:40:27","4.5","36.77"
"2","1VM-0VNF","7","2","106","2022-07-27 23:40:43","2022-07-27 23:40:45","2022-07-27 23:40:45","5.9","35.86"
"2","1VM-0VNF","7","2","105","2022-07-27 23:40:43","2022-07-27 23:40:45","2022-07-27 23:40:45","5.9","35.86"
"2","1VM-0VNF","7","2","104","2022-07-27 23:40:43","2022-07-27 23:40:45","2022-07-27 23:40:44","5.7","35.86"
"2","1VM-0VNF","7","2","103","2022-07-27 23:40:43","2022-07-27 23:40:45","2022-07-27 23:40:44","5.7","35.86"
"2","1VM-0VNF","7","2","102","2022-07-27 23:40:43","2022-07-27 23:40:45","2022-07-27 23:40:43","4.8","35.92"
"2","1VM-0VNF","7","2","101","2022-07-27 23:40:43","2022-07-27 23:40:45","2022-07-27 23:40:43","4.8","35.92"
"2","1VM-0VNF","8","3","122","2022-07-27 23:40:45","2022-07-27 23:40:53","2022-07-27 23:40:53","3.5","35.86"
"2","1VM-0VNF","8","3","121","2022-07-27 23:40:45","2022-07-27 23:40:53","2022-07-27 23:40:53","3.5","35.86"
"2","1VM-0VNF","8","3","120","2022-07-27 23:40:45","2022-07-27 23:40:53","2022-07-27 23:40:52","4.4","35.86"
"2","1VM-0VNF","8","3","119","2022-07-27 23:40:45","2022-07-27 23:40:53","2022-07-27 23:40:52","4.5","35.86"
"2","1VM-0VNF","8","3","118","2022-07-27 23:40:45","2022-07-27 23:40:53","2022-07-27 23:40:51","2","35.86"
"2","1VM-0VNF","8","3","117","2022-07-27 23:40:45","2022-07-27 23:40:53","2022-07-27 23:40:51","2","35.86"
"2","1VM-0VNF","8","3","116","2022-07-27 23:40:45","2022-07-27 23:40:53","2022-07-27 23:40:50","3.9","35.86"
"2","1VM-0VNF","8","3","115","2022-07-27 23:40:45","2022-07-27 23:40:53","2022-07-27 23:40:50","3.9","35.86"
"2","1VM-0VNF","8","3","114","2022-07-27 23:40:45","2022-07-27 23:40:53","2022-07-27 23:40:49","4","35.86"
"2","1VM-0VNF","8","3","113","2022-07-27 23:40:45","2022-07-27 23:40:53","2022-07-27 23:40:49","4","35.86"
"2","1VM-0VNF","8","3","112","2022-07-27 23:40:45","2022-07-27 23:40:53","2022-07-27 23:40:48","4","35.86"
"2","1VM-0VNF","8","3","111","2022-07-27 23:40:45","2022-07-27 23:40:53","2022-07-27 23:40:48","4","35.86"
"2","1VM-0VNF","8","3","110","2022-07-27 23:40:45","2022-07-27 23:40:53","2022-07-27 23:40:47","2.8","35.86"
"2","1VM-0VNF","8","3","109","2022-07-27 23:40:45","2022-07-27 23:40:53","2022-07-27 23:40:47","2.8","35.86"
"2","1VM-0VNF","8","3","108","2022-07-27 23:40:45","2022-07-27 23:40:53","2022-07-27 23:40:46","2.3","35.86"
"2","1VM-0VNF","8","3","107","2022-07-27 23:40:45","2022-07-27 23:40:53","2022-07-27 23:40:46","2.3","35.86"
"2","1VM-0VNF","8","3","106","2022-07-27 23:40:45","2022-07-27 23:40:53","2022-07-27 23:40:45","5.9","35.86"
"2","1VM-0VNF","8","3","105","2022-07-27 23:40:45","2022-07-27 23:40:53","2022-07-27 23:40:45","5.9","35.86"
"2","1VM-0VNF","9","4","168","2022-07-27 23:40:53","2022-07-27 23:41:17","2022-07-27 23:41:17","3.3","36.29"
"2","1VM-0VNF","9","4","167","2022-07-27 23:40:53","2022-07-27 23:41:17","2022-07-27 23:41:17","3.3","36.29"
"2","1VM-0VNF","9","4","166","2022-07-27 23:40:53","2022-07-27 23:41:17","2022-07-27 23:41:16","5.6","36.29"
"2","1VM-0VNF","9","4","165","2022-07-27 23:40:53","2022-07-27 23:41:17","2022-07-27 23:41:16","5.6","36.29"
"2","1VM-0VNF","9","4","164","2022-07-27 23:40:53","2022-07-27 23:41:17","2022-07-27 23:41:15","6.5","36.25"
"2","1VM-0VNF","9","4","163","2022-07-27 23:40:53","2022-07-27 23:41:17","2022-07-27 23:41:15","6.5","36.25"
"2","1VM-0VNF","9","4","162","2022-07-27 23:40:53","2022-07-27 23:41:17","2022-07-27 23:41:14","5.7","36.23"
"2","1VM-0VNF","9","4","161","2022-07-27 23:40:53","2022-07-27 23:41:17","2022-07-27 23:41:14","5.7","36.23"
"2","1VM-0VNF","9","4","160","2022-07-27 23:40:53","2022-07-27 23:41:17","2022-07-27 23:41:13","5.3","36.17"
"2","1VM-0VNF","9","4","159","2022-07-27 23:40:53","2022-07-27 23:41:17","2022-07-27 23:41:13","5.3","36.17"
"2","1VM-0VNF","9","4","158","2022-07-27 23:40:53","2022-07-27 23:41:17","2022-07-27 23:41:12","3.6","36.15"
"2","1VM-0VNF","9","4","157","2022-07-27 23:40:53","2022-07-27 23:41:17","2022-07-27 23:41:12","3.6","36.15"
"2","1VM-0VNF","9","4","156","2022-07-27 23:40:53","2022-07-27 23:41:17","2022-07-27 23:41:11","6.4","36.14"
"2","1VM-0VNF","9","4","155","2022-07-27 23:40:53","2022-07-27 23:41:17","2022-07-27 23:41:11","6.4","36.14"
"2","1VM-0VNF","9","4","154","2022-07-27 23:40:53","2022-07-27 23:41:17","2022-07-27 23:41:10","3.3","36.14"
"2","1VM-0VNF","9","4","153","2022-07-27 23:40:53","2022-07-27 23:41:17","2022-07-27 23:41:10","3.3","36.14"
"2","1VM-0VNF","9","4","152","2022-07-27 23:40:53","2022-07-27 23:41:17","2022-07-27 23:41:09","5.4","36.14"
"2","1VM-0VNF","9","4","151","2022-07-27 23:40:53","2022-07-27 23:41:17","2022-07-27 23:41:09","5.3","36.14"
"2","1VM-0VNF","9","4","150","2022-07-27 23:40:53","2022-07-27 23:41:17","2022-07-27 23:41:08","8.1","36.07"
"2","1VM-0VNF","9","4","149","2022-07-27 23:40:53","2022-07-27 23:41:17","2022-07-27 23:41:08","8.1","36.07"
"2","1VM-0VNF","9","4","148","2022-07-27 23:40:53","2022-07-27 23:41:17","2022-07-27 23:41:07","5.1","35.95"
"2","1VM-0VNF","9","4","147","2022-07-27 23:40:53","2022-07-27 23:41:17","2022-07-27 23:41:07","5","35.95"
"2","1VM-0VNF","9","4","146","2022-07-27 23:40:53","2022-07-27 23:41:17","2022-07-27 23:41:06","6.2","35.9"
"2","1VM-0VNF","9","4","145","2022-07-27 23:40:53","2022-07-27 23:41:17","2022-07-27 23:41:06","6.2","35.9"
"2","1VM-0VNF","9","4","144","2022-07-27 23:40:53","2022-07-27 23:41:17","2022-07-27 23:41:05","6.8","35.89"
"2","1VM-0VNF","9","4","143","2022-07-27 23:40:53","2022-07-27 23:41:17","2022-07-27 23:41:05","6.8","35.89"
"2","1VM-0VNF","9","4","142","2022-07-27 23:40:53","2022-07-27 23:41:17","2022-07-27 23:41:04","5.8","35.9"
"2","1VM-0VNF","9","4","141","2022-07-27 23:40:53","2022-07-27 23:41:17","2022-07-27 23:41:04","5.8","35.9"
"2","1VM-0VNF","9","4","140","2022-07-27 23:40:53","2022-07-27 23:41:17","2022-07-27 23:41:03","3.2","35.86"
"2","1VM-0VNF","9","4","139","2022-07-27 23:40:53","2022-07-27 23:41:17","2022-07-27 23:41:03","3.2","35.88"
"2","1VM-0VNF","9","4","138","2022-07-27 23:40:53","2022-07-27 23:41:17","2022-07-27 23:41:02","4.1","35.86"
"2","1VM-0VNF","9","4","137","2022-07-27 23:40:53","2022-07-27 23:41:17","2022-07-27 23:41:02","4.1","35.86"
"2","1VM-0VNF","9","4","136","2022-07-27 23:40:53","2022-07-27 23:41:17","2022-07-27 23:41:01","4.3","35.86"
"2","1VM-0VNF","9","4","135","2022-07-27 23:40:53","2022-07-27 23:41:17","2022-07-27 23:41:01","4.3","35.86"
"2","1VM-0VNF","9","4","134","2022-07-27 23:40:53","2022-07-27 23:41:17","2022-07-27 23:41:00","3","35.86"
"2","1VM-0VNF","9","4","133","2022-07-27 23:40:53","2022-07-27 23:41:17","2022-07-27 23:41:00","3","35.86"
"2","1VM-0VNF","9","4","132","2022-07-27 23:40:53","2022-07-27 23:41:17","2022-07-27 23:40:59","3.3","35.86"
"2","1VM-0VNF","9","4","131","2022-07-27 23:40:53","2022-07-27 23:41:17","2022-07-27 23:40:59","3.3","35.86"
"2","1VM-0VNF","9","4","130","2022-07-27 23:40:53","2022-07-27 23:41:17","2022-07-27 23:40:58","2.9","35.86"
"2","1VM-0VNF","9","4","129","2022-07-27 23:40:53","2022-07-27 23:41:17","2022-07-27 23:40:58","2.9","35.86"
"2","1VM-0VNF","9","4","128","2022-07-27 23:40:53","2022-07-27 23:41:17","2022-07-27 23:40:57","2.2","35.86"
"2","1VM-0VNF","9","4","127","2022-07-27 23:40:53","2022-07-27 23:41:17","2022-07-27 23:40:57","2.2","35.86"
"2","1VM-0VNF","9","4","126","2022-07-27 23:40:53","2022-07-27 23:41:17","2022-07-27 23:40:56","3.5","35.86"
"2","1VM-0VNF","9","4","125","2022-07-27 23:40:53","2022-07-27 23:41:17","2022-07-27 23:40:56","3.5","35.86"
"2","1VM-0VNF","9","4","124","2022-07-27 23:40:53","2022-07-27 23:41:17","2022-07-27 23:40:55","4.2","35.86"
"2","1VM-0VNF","9","4","123","2022-07-27 23:40:53","2022-07-27 23:41:17","2022-07-27 23:40:55","4.2","35.86"
"2","1VM-0VNF","9","4","122","2022-07-27 23:40:53","2022-07-27 23:41:17","2022-07-27 23:40:53","3.5","35.86"
"2","1VM-0VNF","9","4","121","2022-07-27 23:40:53","2022-07-27 23:41:17","2022-07-27 23:40:53","3.5","35.86"
"2","1VM-0VNF","10","5","208","2022-07-27 23:42:44","2022-07-27 23:43:03","2022-07-27 23:43:03","2.8","35.86"
"2","1VM-0VNF","10","5","207","2022-07-27 23:42:44","2022-07-27 23:43:03","2022-07-27 23:43:03","2.8","35.86"
"2","1VM-0VNF","10","5","206","2022-07-27 23:42:44","2022-07-27 23:43:03","2022-07-27 23:43:02","4.3","35.86"
"2","1VM-0VNF","10","5","205","2022-07-27 23:42:44","2022-07-27 23:43:03","2022-07-27 23:43:02","4.3","35.86"
"2","1VM-0VNF","10","5","204","2022-07-27 23:42:44","2022-07-27 23:43:03","2022-07-27 23:43:01","3.5","35.88"
"2","1VM-0VNF","10","5","203","2022-07-27 23:42:44","2022-07-27 23:43:03","2022-07-27 23:43:01","3.5","35.88"
"2","1VM-0VNF","10","5","202","2022-07-27 23:42:44","2022-07-27 23:43:03","2022-07-27 23:43:00","8.3","35.86"
"2","1VM-0VNF","10","5","201","2022-07-27 23:42:44","2022-07-27 23:43:03","2022-07-27 23:43:00","8.3","35.86"
"2","1VM-0VNF","10","5","200","2022-07-27 23:42:44","2022-07-27 23:43:03","2022-07-27 23:42:59","5.7","35.92"
"2","1VM-0VNF","10","5","199","2022-07-27 23:42:44","2022-07-27 23:43:03","2022-07-27 23:42:59","5.7","35.92"
"2","1VM-0VNF","10","5","198","2022-07-27 23:42:44","2022-07-27 23:43:03","2022-07-27 23:42:58","3.4","35.86"
"2","1VM-0VNF","10","5","197","2022-07-27 23:42:44","2022-07-27 23:43:03","2022-07-27 23:42:58","3.4","35.86"
"2","1VM-0VNF","10","5","196","2022-07-27 23:42:44","2022-07-27 23:43:03","2022-07-27 23:42:57","2.9","35.86"
"2","1VM-0VNF","10","5","195","2022-07-27 23:42:44","2022-07-27 23:43:03","2022-07-27 23:42:57","2.9","35.86"
"2","1VM-0VNF","10","5","194","2022-07-27 23:42:44","2022-07-27 23:43:03","2022-07-27 23:42:56","2.4","35.86"
"2","1VM-0VNF","10","5","193","2022-07-27 23:42:44","2022-07-27 23:43:03","2022-07-27 23:42:56","2.4","35.86"
"2","1VM-0VNF","10","5","192","2022-07-27 23:42:44","2022-07-27 23:43:03","2022-07-27 23:42:55","4.4","35.86"
"2","1VM-0VNF","10","5","191","2022-07-27 23:42:44","2022-07-27 23:43:03","2022-07-27 23:42:55","4.4","35.86"
"2","1VM-0VNF","10","5","190","2022-07-27 23:42:44","2022-07-27 23:43:03","2022-07-27 23:42:54","2.6","35.86"
"2","1VM-0VNF","10","5","189","2022-07-27 23:42:44","2022-07-27 23:43:03","2022-07-27 23:42:54","2.6","35.86"
"2","1VM-0VNF","10","5","188","2022-07-27 23:42:44","2022-07-27 23:43:03","2022-07-27 23:42:53","3.9","35.86"
"2","1VM-0VNF","10","5","187","2022-07-27 23:42:44","2022-07-27 23:43:03","2022-07-27 23:42:53","4","35.86"
"2","1VM-0VNF","10","5","186","2022-07-27 23:42:44","2022-07-27 23:43:03","2022-07-27 23:42:52","7.7","35.86"
"2","1VM-0VNF","10","5","185","2022-07-27 23:42:44","2022-07-27 23:43:03","2022-07-27 23:42:52","7.7","35.86"
"2","1VM-0VNF","10","5","184","2022-07-27 23:42:44","2022-07-27 23:43:03","2022-07-27 23:42:51","4.9","35.86"
"2","1VM-0VNF","10","5","183","2022-07-27 23:42:44","2022-07-27 23:43:03","2022-07-27 23:42:51","4.9","35.86"
"2","1VM-0VNF","10","5","182","2022-07-27 23:42:44","2022-07-27 23:43:03","2022-07-27 23:42:50","8.5","35.89"
"2","1VM-0VNF","10","5","181","2022-07-27 23:42:44","2022-07-27 23:43:03","2022-07-27 23:42:50","8.5","35.89"
"2","1VM-0VNF","10","5","180","2022-07-27 23:42:44","2022-07-27 23:43:03","2022-07-27 23:42:49","3.4","35.86"
"2","1VM-0VNF","10","5","179","2022-07-27 23:42:44","2022-07-27 23:43:03","2022-07-27 23:42:49","3.4","35.86"
"2","1VM-0VNF","10","5","178","2022-07-27 23:42:44","2022-07-27 23:43:03","2022-07-27 23:42:48","4.4","36.91"
"2","1VM-0VNF","10","5","177","2022-07-27 23:42:44","2022-07-27 23:43:03","2022-07-27 23:42:48","4.4","36.91"
"2","1VM-0VNF","10","5","176","2022-07-27 23:42:44","2022-07-27 23:43:03","2022-07-27 23:42:47","5.4","36.91"
"2","1VM-0VNF","10","5","175","2022-07-27 23:42:44","2022-07-27 23:43:03","2022-07-27 23:42:47","5.4","36.91"
"2","1VM-0VNF","10","5","174","2022-07-27 23:42:44","2022-07-27 23:43:03","2022-07-27 23:42:46","5","36.91"
